File	SMILES	HOMO (Ha)	LUMO (Ha)	GAP (eV)
Hc1cCcNOO-cOcCCc1CN_opt.log	c1c(C)c(N(=O)(=O))c(O)c(C=C)c1(C#N)	-0.26583	-0.10196	4.459132118
Hc1cOcHcCNcCc1F_opt.log	c1c(O)cc(C#N)c(C)c1(F)	-0.25252	-0.0489	5.5407852680000005
Hc1cNcCcCNcOc1O_opt.log	c1c(N)c(C)c(C#N)c(O)c1(O)	-0.1933	-0.02676	4.531786556
Hc1cNcCOcCOcCNc1F_opt.log	c1c(N)c(C=O)c(C=O)c(C#N)c1(F)	-0.25398	-0.10013	4.18647389
Hc1cNcNOO-cHcNOO-c1NOO-_opt.log	c1c(N)c(N(=O)(=O))cc(N(=O)(=O))c1(N(=O)(=O))	-0.28097	-0.14823	3.612041236
Hc1cNcNOO-cHcNc1CO_opt.log	c1c(N)c(N(=O)(=O))cc(N)c1(C=O)	-0.19853	-0.09987	2.6846767240000005
Hc1cNcHcCOcFc1CN_opt.log	c1c(N)cc(C=O)c(F)c1(C#N)	-0.23561	-0.08254	4.165248998000001
Hc1cNcCOcFcOc1O_opt.log	c1c(N)c(C=O)c(F)c(O)c1(O)	-0.20743	-0.04058	4.54022209
Hc1cNcCOcCOcCc1CO_opt.log	c1c(N)c(C=O)c(C=O)c(C)c1(C=O)	-0.23088	-0.08846	3.875447588
Hc1cNcNOO-cFcNc1CC_opt.log	c1c(N)c(N(=O)(=O))c(F)c(N)c1(C=C)	-0.19861	-0.08394	3.1203312380000003
Hc1cCOcNOO-cHcNc1NOO-_opt.log	c1c(C=O)c(N(=O)(=O))cc(N)c1(N(=O)(=O))	-0.27017	-0.13189	3.7627923920000006
Hc1cNcCCcNOO-cNc1O_opt.log	c1c(N)c(C=C)c(N(=O)(=O))c(N)c1(O)	-0.20648	-0.07719	3.5181619060000004
Hc1cNcCCcCcCCc1F_opt.log	c1c(N)c(C=C)c(C)c(C=C)c1(F)	-0.19556	-0.00687	5.134519066000001
Hc1cNcFcCNcCc1F_opt.log	c1c(N)c(F)c(C#N)c(C)c1(F)	-0.22575	-0.04578	4.8972356580000005
Hc1cNcNcCCcFc1CN_opt.log	c1c(N)c(N)c(C=C)c(F)c1(C#N)	-0.2161	-0.02861	5.101865386
Hc1cNcNcCCcCc1CC_opt.log	c1c(N)c(N)c(C=C)c(C)c1(C=C)	-0.17794	0.00417	4.955468054
Hc1cNcCcCNcCCc1NOO-_opt.log	c1c(N)c(C)c(C#N)c(C=C)c1(N(=O)(=O))	-0.23322	-0.09748	3.693675436000001
Hc1cNcNcCCcNOO-c1F_opt.log	c1c(N)c(N)c(C=C)c(N(=O)(=O))c1(F)	-0.21908	-0.06958	4.0681043
Hc1cCcNOO-cFcNOO-c1N_opt.log	c1c(C)c(N(=O)(=O))c(F)c(N(=O)(=O))c1(N)	-0.26117	-0.10843	4.156269236000001
Hc1cNcCcNOO-cNc1CC_opt.log	c1c(N)c(C)c(N(=O)(=O))c(N)c1(C=C)	-0.1884	-0.08	2.9497157600000006
Hc1cNcOcNOO-cCCc1CC_opt.log	c1c(N)c(O)c(N(=O)(=O))c(C=C)c1(C=C)	-0.22557	-0.0746	4.108105058
Hc1cNcCNcNOO-cHc1F_opt.log	c1c(N)c(C#N)c(N(=O)(=O))cc1(F)	-0.25458	-0.11684	3.7480982359999993
Hc1cNcCOcCOcFc1CC_opt.log	c1c(N)c(C=O)c(C=O)c(F)c1(C=C)	-0.22771	-0.08154	3.977490338
Hc1cNcCNcOcOc1F_opt.log	c1c(N)c(C#N)c(O)c(O)c1(F)	-0.20712	-0.02966	4.8289350440000005
Hc1cNcHcCOcCOc1O_opt.log	c1c(N)cc(C=O)c(C=O)c1(O)	-0.22645	-0.0628	4.453145610000001
Hc1cNcOcOcCNc1NOO-_opt.log	c1c(N)c(O)c(O)c(C#N)c1(N(=O)(=O))	-0.24462	-0.0986	3.9734086280000005
Hc1cNcCcCcNc1O_opt.log	c1c(N)c(C)c(C)c(N)c1(O)	-0.15806	0.03544	5.2654059
Hc1cNcCOcHcOc1O_opt.log	c1c(N)c(C=O)cc(O)c1(O)	-0.20022	-0.03601	4.468383994000001
Hc1cNcCNcCNcCc1CO_opt.log	c1c(N)c(C#N)c(C#N)c(C)c1(C=O)	-0.24705	-0.09772	4.063478362
Hc1cOcHcCOcNc1F_opt.log	c1c(O)cc(C=O)c(N)c1(F)	-0.20178	-0.05333	4.039532329999999
Hc1cNcCOcCOcNOO-c1O_opt.log	c1c(N)c(C=O)c(C=O)c(N(=O)(=O))c1(O)	-0.26121	-0.10112	4.356273026
Hc1cNcNcFcHc1NOO-_opt.log	c1c(N)c(N)c(F)cc1(N(=O)(=O))	-0.21906	-0.08093	3.7587106820000002
Hc1cNcOcNOO-cCc1F_opt.log	c1c(N)c(O)c(N(=O)(=O))c(C)c1(F)	-0.21144	-0.09781	3.092031382
Hc1cNcFcFcNc1CO_opt.log	c1c(N)c(F)c(F)c(N)c1(C=O)	-0.18737	-0.04943	3.753540516
Hc1cCcNOO-cCCcNc1CO_opt.log	c1c(C)c(N(=O)(=O))c(C=C)c(N)c1(C=O)	-0.22574	-0.09768	3.4846918840000005
Hc1cOcHcOcCCc1O_opt.log	c1c(O)cc(O)c(C=C)c1(O)	-0.2028	0.00921	5.769088914
Hc1cNcOcOcCNc1F_opt.log	c1c(N)c(O)c(O)c(C#N)c1(F)	-0.23087	-0.01605	5.845552948
Hc1cNcCOcHcNOO-c1CN_opt.log	c1c(N)c(C=O)cc(N(=O)(=O))c1(C#N)	-0.26594	-0.11229	4.181031610000001
Hc1cNcCcCcNOO-c1NOO-_opt.log	c1c(N)c(C)c(C)c(N(=O)(=O))c1(N(=O)(=O))	-0.24218	-0.1045	3.746465552000001
Hc1cNcCCcCcOc1O_opt.log	c1c(N)c(C=C)c(C)c(O)c1(O)	-0.17433	0.00644	4.919004778000001
Hc1cNcCCcNcCNc1CC_opt.log	c1c(N)c(C=C)c(N)c(C#N)c1(C=C)	-0.20691	-0.02642	4.911385586000001
Hc1cNcFcFcCOc1NOO-_opt.log	c1c(N)c(F)c(F)c(C=O)c1(N(=O)(=O))	-0.25494	-0.10715	4.021572806
Hc1cNcOcCcCOc1NOO-_opt.log	c1c(N)c(O)c(C)c(C=O)c1(N(=O)(=O))	-0.25612	-0.08589	4.632196622
Hc1cNcOcNOO-cFc1F_opt.log	c1c(N)c(O)c(N(=O)(=O))c(F)c1(F)	-0.21918	-0.10381	3.1393792180000006
Hc1cNcCNcNcCNc1F_opt.log	c1c(N)c(C#N)c(N)c(C#N)c1(F)	-0.23537	-0.04398	5.207989846
Hc1cNcCcCcFc1NOO-_opt.log	c1c(N)c(C)c(C)c(F)c1(N(=O)(=O))	-0.21948	-0.08684	3.6093200960000003
Hc1cNcCCcCOcCOc1N_opt.log	c1c(N)c(C=C)c(C=O)c(C=O)c1(N)	-0.21041	-0.05721	4.1687864800000005
Hc1cNcCNcNcFc1NOO-_opt.log	c1c(N)c(C#N)c(N)c(F)c1(N(=O)(=O))	-0.22658	-0.1091	3.196795272
Hc1cNcNOO-cCcNOO-c1CC_opt.log	c1c(N)c(N(=O)(=O))c(C)c(N(=O)(=O))c1(C=C)	-0.24657	-0.10498	3.8528621259999998
Hc1cNcNcFcOc1NOO-_opt.log	c1c(N)c(N)c(F)c(O)c1(N(=O)(=O))	-0.22877	-0.08314	3.9627961819999995
Hc1cNcNcCCcNOO-c1O_opt.log	c1c(N)c(N)c(C=C)c(N(=O)(=O))c1(O)	-0.2092	-0.05914	4.083342684
Hc1cNcCNcHcCCc1CO_opt.log	c1c(N)c(C#N)cc(C=C)c1(C=O)	-0.22374	-0.07861	3.9491904819999997
Hc1cNcFcOcNOO-c1NOO-_opt.log	c1c(N)c(F)c(O)c(N(=O)(=O))c1(N(=O)(=O))	-0.26219	-0.11819	3.918441599999999
Hc1cCcNOO-cCCcHc1CN_opt.log	c1c(C)c(N(=O)(=O))c(C=C)cc1(C#N)	-0.27692	-0.10937	4.55927007
Hc1cNcOcCCcCOc1NOO-_opt.log	c1c(N)c(O)c(C=C)c(C=O)c1(N(=O)(=O))	-0.24522	-0.09628	4.052865916
Hc1cOcHcCCcNc1O_opt.log	c1c(O)cc(C=C)c(N)c1(O)	-0.21631	-0.01063	5.596840752
Hc1cOcHcCOcNOO-c1CC_opt.log	c1c(O)cc(C=O)c(N(=O)(=O))c1(C=C)	-0.26834	-0.10032	4.572059428
Hc1cNcCNcCNcNc1NOO-_opt.log	c1c(N)c(C#N)c(C#N)c(N)c1(N(=O)(=O))	-0.22583	-0.1209	2.8552922020000002
Hc1cNcFcNOO-cCCc1N_opt.log	c1c(N)c(F)c(N(=O)(=O))c(C=C)c1(N)	-0.201	-0.08364	3.1935299040000005
Hc1cNcCCcCcCOc1O_opt.log	c1c(N)c(C=C)c(C)c(C=O)c1(O)	-0.20836	-0.0272	4.929617224
Hc1cNcNcNcCCc1N_opt.log	c1c(N)c(N)c(N)c(C=C)c1(N)	-0.15646	0.02504	4.9388691
Hc1cNcFcFcCOc1F_opt.log	c1c(N)c(F)c(F)c(C=O)c1(F)	-0.24075	-0.05475	5.0613204000000005
Hc1cNcCOcCNcNc1CC_opt.log	c1c(N)c(C=O)c(C#N)c(N)c1(C=C)	-0.19698	-0.07009	3.452854546
Hc1cNcCOcCNcCNc1CC_opt.log	c1c(N)c(C=O)c(C#N)c(C#N)c1(C=C)	-0.25153	-0.09343	4.3021223399999995
Hc1cNcCNcCNcCNc1CC_opt.log	c1c(N)c(C#N)c(C#N)c(C#N)c1(C=C)	-0.25779	-0.08816	4.615869782
Hc1cNcCNcCCcOc1CN_opt.log	c1c(N)c(C#N)c(C=C)c(O)c1(C#N)	-0.22135	-0.07215	4.05994088
Hc1cNcCcCNcNOO-c1O_opt.log	c1c(N)c(C)c(C#N)c(N(=O)(=O))c1(O)	-0.25297	-0.09621	4.265659063999999
Hc1cNcCcNcNc1NOO-_opt.log	c1c(N)c(C)c(N)c(N)c1(N(=O)(=O))	-0.18148	-0.06974	3.0406018360000004
Hc1cNcFcCOcCc1CO_opt.log	c1c(N)c(F)c(C=O)c(C)c1(C=O)	-0.22597	-0.06778	4.304571366
Hc1cNcCCcNOO-cNc1F_opt.log	c1c(N)c(C=C)c(N(=O)(=O))c(N)c1(F)	-0.19016	-0.08515	2.8574691139999997
Hc1cNcCcCcCCc1F_opt.log	c1c(N)c(C)c(C)c(C=C)c1(F)	-0.19195	0.00217	5.282276968000001
Hc1cOcHcCCcCCc1CN_opt.log	c1c(O)cc(C=C)c(C=C)c1(C#N)	-0.23806	-0.04806	5.170166
Hc1cCcNOO-cCOcOc1CC_opt.log	c1c(C)c(N(=O)(=O))c(C=O)c(O)c1(C=C)	-0.25346	-0.09659	4.268652318
Hc1cNcCCcFcCCc1NOO-_opt.log	c1c(N)c(C=C)c(F)c(C=C)c1(N(=O)(=O))	-0.22136	-0.0948	3.443874784
Hc1cNcCOcNOO-cCNc1F_opt.log	c1c(N)c(C=O)c(N(=O)(=O))c(C#N)c1(F)	-0.26405	-0.12309	3.8357189440000004
Hc1cNcCCcNcHc1O_opt.log	c1c(N)c(C=C)c(N)cc1(O)	-0.18648	0.01407	5.457246270000001
Hc1cCcNOO-cFcCc1O_opt.log	c1c(C)c(N(=O)(=O))c(F)c(C)c1(O)	-0.26096	-0.08515	4.784036234000001
Hc1cCcNOO-cOcCCc1CO_opt.log	c1c(C)c(N(=O)(=O))c(O)c(C=C)c1(C=O)	-0.25647	-0.10147	4.217766999999999
Hc1cNcCCcCcCNc1O_opt.log	c1c(N)c(C=C)c(C)c(C#N)c1(O)	-0.21611	-0.01556	5.457246270000001
Hc1cNcOcNOO-cCCc1CO_opt.log	c1c(N)c(O)c(N(=O)(=O))c(C=C)c1(C=O)	-0.25726	-0.08388	4.717912532
Hc1cNcFcCCcFc1NOO-_opt.log	c1c(N)c(F)c(C=C)c(F)c1(N(=O)(=O))	-0.23226	-0.09705	3.6792533940000003
Hc1cNcCcCNcCCc1O_opt.log	c1c(N)c(C)c(C#N)c(C=C)c1(O)	-0.20205	-0.03147	4.641720612
Hc1cNcNcCcCCc1F_opt.log	c1c(N)c(N)c(C)c(C=C)c1(F)	-0.18683	0.00592	5.24499735
Hc1cNcCOcCcCNc1CC_opt.log	c1c(N)c(C=O)c(C)c(C#N)c1(C=C)	-0.23114	-0.0689	4.414777536
Hc1cNcCOcNOO-cCNc1CN_opt.log	c1c(N)c(C=O)c(N(=O)(=O))c(C#N)c1(C#N)	-0.27256	-0.13142	3.8406169960000005
Hc1cNcOcCcNc1NOO-_opt.log	c1c(N)c(O)c(C)c(N)c1(N(=O)(=O))	-0.22353	-0.07079	4.156269236
Hc1cNcOcCCcCc1O_opt.log	c1c(N)c(O)c(C=C)c(C)c1(O)	-0.19491	0.00701	5.494525888
Hc1cNcCNcNOO-cOc1NOO-_opt.log	c1c(N)c(C#N)c(N(=O)(=O))c(O)c1(N(=O)(=O))	-0.2502	-0.13783	3.0577450179999994
Hc1cNcFcCcNOO-c1N_opt.log	c1c(N)c(F)c(C)c(N(=O)(=O))c1(N)	-0.21549	-0.07594	3.7973508700000003
Hc1cNcHcCOcOc1CC_opt.log	c1c(N)cc(C=O)c(O)c1(C=C)	-0.19767	-0.0492	4.040076558000001
Hc1cNcFcCCcNc1CO_opt.log	c1c(N)c(F)c(C=C)c(N)c1(C=O)	-0.18186	-0.04267	3.7875547659999995
Hc1cNcNcCOcNc1CO_opt.log	c1c(N)c(N)c(C=O)c(N)c1(C=O)	-0.21091	-0.04749	4.446886987999999
Hc1cNcNcCNcHc1NOO-_opt.log	c1c(N)c(N)c(C#N)cc1(N(=O)(=O))	-0.23611	-0.09212	3.9181694860000005
Hc1cNcCOcCcOc1NOO-_opt.log	c1c(N)c(C=O)c(C)c(O)c1(N(=O)(=O))	-0.21653	-0.097	3.252578642
Hc1cNcFcOcCNc1NOO-_opt.log	c1c(N)c(F)c(O)c(C#N)c1(N(=O)(=O))	-0.24944	-0.10988	3.7976229839999998
Hc1cNcCOcFcHc1NOO-_opt.log	c1c(N)c(C=O)c(F)cc1(N(=O)(=O))	-0.24764	-0.11986	3.477072692
Hc1cNcCCcNOO-cCOc1NOO-_opt.log	c1c(N)c(C=C)c(N(=O)(=O))c(C=O)c1(N(=O)(=O))	-0.25	-0.11554	3.658844844
Hc1cCcNOO-cNOO-cNOO-c1CN_opt.log	c1c(C)c(N(=O)(=O))c(N(=O)(=O))c(N(=O)(=O))c1(C#N)	-0.32347	-0.15387	4.61505344
Hc1cNcNcOcFc1N_opt.log	c1c(N)c(N)c(O)c(F)c1(N)	-0.1787	0.04636	6.124197683999999
Hc1cNcCNcCcCCc1CN_opt.log	c1c(N)c(C#N)c(C)c(C=C)c1(C#N)	-0.22983	-0.06597	4.458860004
Hc1cNcFcFcCc1O_opt.log	c1c(N)c(F)c(F)c(C)c1(O)	-0.20032	0.0178	5.9353505680000005
Hc1cNcNcCCcOc1F_opt.log	c1c(N)c(N)c(C=C)c(O)c1(F)	-0.18969	0.00427	5.277923144
Hc1cNcCNcCCcFc1CN_opt.log	c1c(N)c(C#N)c(C=C)c(F)c1(C#N)	-0.24091	-0.08087	4.354912456000001
Hc1cNcCcCOcCc1CC_opt.log	c1c(N)c(C)c(C=O)c(C)c1(C=C)	-0.20303	-0.04534	4.290965666
Hc1cNcCNcOcNc1NOO-_opt.log	c1c(N)c(C#N)c(O)c(N)c1(N(=O)(=O))	-0.20007	-0.09918	2.745358146
Hc1cNcCNcNOO-cNc1CN_opt.log	c1c(N)c(C#N)c(N(=O)(=O))c(N)c1(C#N)	-0.22687	-0.11346	3.0860448739999997
Hc1cNcNcNOO-cFc1O_opt.log	c1c(N)c(N)c(N(=O)(=O))c(F)c1(O)	-0.20054	-0.08238	3.215299024
Hc1cNcOcNcCCc1CN_opt.log	c1c(N)c(O)c(N)c(C=C)c1(C#N)	-0.20191	-0.01637	5.048803156000001
Hc1cNcNcFcCNc1CN_opt.log	c1c(N)c(N)c(F)c(C#N)c1(C#N)	-0.23096	-0.05107	4.895058746
Hc1cFcNcHcCCc1CN_opt.log	c1c(F)c(N)cc(C=C)c1(C#N)	-0.22506	-0.03396	5.200098540000001
Hc1cOcHcFcOc1O_opt.log	c1c(O)cc(F)c(O)c1(O)	-0.21314	0.01277	6.1473273740000005
Hc1cNcHcFcNOO-c1N_opt.log	c1c(N)cc(F)c(N(=O)(=O))c1(N)	-0.22542	-0.07254	4.160078832000001
Hc1cNcNcOcNOO-c1O_opt.log	c1c(N)c(N)c(O)c(N(=O)(=O))c1(O)	-0.23512	-0.08671	4.0384438739999995
Hc1cNcCNcNcHc1NOO-_opt.log	c1c(N)c(C#N)c(N)cc1(N(=O)(=O))	-0.2269	-0.10773	3.2427825379999997
Hc1cNcFcCcCCc1CO_opt.log	c1c(N)c(F)c(C)c(C=C)c1(C=O)	-0.21	-0.04891	4.383484426
Hc1cNcCOcOcCc1NOO-_opt.log	c1c(N)c(C=O)c(O)c(C)c1(N(=O)(=O))	-0.22762	-0.10271	3.398975974
Hc1cNcFcFcFc1CN_opt.log	c1c(N)c(F)c(F)c(F)c1(C#N)	-0.23703	-0.05298	5.00825817
Hc1cNcCOcCOcNOO-c1CO_opt.log	c1c(N)c(C=O)c(C=O)c(N(=O)(=O))c1(C=O)	-0.267	-0.11229	4.209875694000001
Hc1cNcFcCcCNc1CC_opt.log	c1c(N)c(F)c(C)c(C#N)c1(C=C)	-0.22162	-0.03066	5.196288944000001
Hc1cNcCNcNOO-cCc1CN_opt.log	c1c(N)c(C#N)c(N(=O)(=O))c(C)c1(C#N)	-0.25675	-0.11717	3.7981672119999996
Hc1cNcCOcHcCCc1CN_opt.log	c1c(N)c(C=O)cc(C=C)c1(C#N)	-0.22409	-0.07732	3.9938171780000005
Hc1cNcCOcCNcNc1O_opt.log	c1c(N)c(C=O)c(C#N)c(N)c1(O)	-0.23062	-0.05838	4.686891536
Hc1cNcHcCNcCCc1F_opt.log	c1c(N)cc(C#N)c(C=C)c1(F)	-0.21789	-0.04482	4.709476998
Hc1cNcCNcNcHc1CC_opt.log	c1c(N)c(C#N)c(N)cc1(C=C)	-0.20273	-0.03684	4.5140991459999995
Hc1cNcCcFcHc1F_opt.log	c1c(N)c(C)c(F)cc1(F)	-0.21307	0.01454	6.193586754
Hc1cCcNOO-cFcFc1NOO-_opt.log	c1c(C)c(N(=O)(=O))c(F)c(F)c1(N(=O)(=O))	-0.30552	-0.14613	4.337225046
Hc1cNcFcNOO-cFc1O_opt.log	c1c(N)c(F)c(N(=O)(=O))c(F)c1(O)	-0.22743	-0.09537	3.5935374840000005
Hc1cNcCcCOcFc1CN_opt.log	c1c(N)c(C)c(C=O)c(F)c1(C#N)	-0.23125	-0.07665	4.20688244
Hc1cNcFcHcNOO-c1N_opt.log	c1c(N)c(F)cc(N(=O)(=O))c1(N)	-0.21922	-0.07569	3.905652242
Hc1cCNcNcHcNOO-c1CC_opt.log	c1c(C#N)c(N)cc(N(=O)(=O))c1(C=C)	-0.23761	-0.11134	3.435983478
Hc1cNcCOcCOcCc1CC_opt.log	c1c(N)c(C=O)c(C=O)c(C)c1(C=C)	-0.21854	-0.06816	4.092050332
Hc1cNcCCcCOcCOc1CO_opt.log	c1c(N)c(C=C)c(C=O)c(C=O)c1(C=O)	-0.23043	-0.07959	4.104567576
Hc1cNcNOO-cCcFc1CN_opt.log	c1c(N)c(N(=O)(=O))c(C)c(F)c1(C#N)	-0.2457	-0.11167	3.6471439419999996
Hc1cNcCOcNcNc1CN_opt.log	c1c(N)c(C=O)c(N)c(N)c1(C#N)	-0.20714	-0.05844	4.04633518
Hc1cNcCOcNcCCc1O_opt.log	c1c(N)c(C=O)c(N)c(C=C)c1(O)	-0.19298	-0.02947	4.449336014000001
Hc1cNcNcCOcNc1CC_opt.log	c1c(N)c(N)c(C=O)c(N)c1(C=C)	-0.18427	-0.03398	4.089601306
Hc1cNcCcNcCOc1CO_opt.log	c1c(N)c(C)c(N)c(C=O)c1(C=O)	-0.21236	-0.06333	4.055314942
Hc1cNcOcCOcCCc1F_opt.log	c1c(N)c(O)c(C=O)c(C=C)c1(F)	-0.22978	-0.05209	4.835193666
Hc1cNcOcNcFc1NOO-_opt.log	c1c(N)c(O)c(N)c(F)c1(N(=O)(=O))	-0.21165	-0.07821	3.6310892160000003
Hc1cNcFcNOO-cNOO-c1CC_opt.log	c1c(N)c(F)c(N(=O)(=O))c(N(=O)(=O))c1(C=C)	-0.2542	-0.11055	3.90891761
Hc1cNcFcHcNc1O_opt.log	c1c(N)c(F)cc(N)c1(O)	-0.15479	0.02732	4.955468054000001
Hc1cNcNcCNcFc1CO_opt.log	c1c(N)c(N)c(C#N)c(F)c1(C=O)	-0.23552	-0.06106	4.747300844000001
Hc1cNcCNcOcFc1NOO-_opt.log	c1c(N)c(C#N)c(O)c(F)c1(N(=O)(=O))	-0.24247	-0.11664	3.424010462
Hc1cCcNOO-cFcNc1CN_opt.log	c1c(C)c(N(=O)(=O))c(F)c(N)c1(C#N)	-0.24361	-0.11068	3.617211402
Hc1cNcCNcCcCCc1CO_opt.log	c1c(N)c(C#N)c(C)c(C=C)c1(C=O)	-0.22282	-0.07389	4.0525938020000005
Hc1cNcFcCNcNc1O_opt.log	c1c(N)c(F)c(C#N)c(N)c1(O)	-0.21523	-0.02651	5.135335408
Hc1cNcHcCCcNc1F_opt.log	c1c(N)cc(C=C)c(N)c1(F)	-0.17255	-0.01011	4.420219816
Hc1cCcNOO-cCCcOc1CC_opt.log	c1c(C)c(N(=O)(=O))c(C=C)c(O)c1(C=C)	-0.23837	-0.09104	4.009055562
Hc1cNcOcCNcHc1NOO-_opt.log	c1c(N)c(O)c(C#N)cc1(N(=O)(=O))	-0.23472	-0.10168	3.620204656
Hc1cNcFcCCcCCc1NOO-_opt.log	c1c(N)c(F)c(C=C)c(C=C)c1(N(=O)(=O))	-0.22413	-0.08773	3.71163496
Hc1cNcCOcOcCCc1CO_opt.log	c1c(N)c(C=O)c(O)c(C=C)c1(C=O)	-0.2204	-0.07631	3.9208906260000003
Hc1cNcCOcNOO-cCCc1CO_opt.log	c1c(N)c(C=O)c(N(=O)(=O))c(C=C)c1(C=O)	-0.23594	-0.10741	3.497481242
Hc1cNcCCcOcCNc1NOO-_opt.log	c1c(N)c(C=C)c(O)c(C#N)c1(N(=O)(=O))	-0.24009	-0.10485	3.680069736
Hc1cNcHcOcCc1N_opt.log	c1c(N)cc(O)c(C)c1(N)	-0.17391	0.05315	6.1786204840000005
Hc1cNcOcFcHc1CO_opt.log	c1c(N)c(O)c(F)cc1(C=O)	-0.21193	-0.05005	4.4049814320000005
Hc1cNcNOO-cCOcCNc1CO_opt.log	c1c(N)c(N(=O)(=O))c(C=O)c(C#N)c1(C=O)	-0.26927	-0.12323	3.9739528560000004
Hc1cNcNcCcNOO-c1CN_opt.log	c1c(N)c(N)c(C)c(N(=O)(=O))c1(C#N)	-0.225	-0.0847	3.8177594200000002
Hc1cNcNcOcNc1NOO-_opt.log	c1c(N)c(N)c(O)c(N)c1(N(=O)(=O))	-0.17904	-0.06419	3.1252292900000005
Hc1cNcFcOcCOc1O_opt.log	c1c(N)c(F)c(O)c(C=O)c1(O)	-0.22063	-0.02574	5.303229746
Hc1cNcCNcNcCCc1O_opt.log	c1c(N)c(C#N)c(N)c(C=C)c1(O)	-0.19581	-0.00645	5.152750704
Hc1cNcNcCNcCCc1F_opt.log	c1c(N)c(N)c(C#N)c(C=C)c1(F)	-0.20312	-0.03357	4.6136928699999995
Hc1cCcNOO-cNOO-cCCc1CN_opt.log	c1c(C)c(N(=O)(=O))c(N(=O)(=O))c(C=C)c1(C#N)	-0.28886	-0.13184	4.272734028
Hc1cNcCcCOcCCc1CC_opt.log	c1c(N)c(C)c(C=O)c(C=C)c1(C=C)	-0.20275	-0.04605	4.264026380000001
Hc1cNcCCcHcCOc1CC_opt.log	c1c(N)c(C=C)cc(C=O)c1(C=C)	-0.21459	-0.04648	4.574508454
Hc1cNcCOcNOO-cNOO-c1O_opt.log	c1c(N)c(C=O)c(N(=O)(=O))c(N(=O)(=O))c1(O)	-0.26946	-0.11998	4.067560071999999
Hc1cNcCNcNcCc1CN_opt.log	c1c(N)c(C#N)c(N)c(C)c1(C#N)	-0.21682	-0.05541	4.3921920740000004
Hc1cNcNOO-cHcCOc1CC_opt.log	c1c(N)c(N(=O)(=O))cc(C=O)c1(C=C)	-0.25069	-0.09732	4.173412418000001
Hc1cNcFcOcCc1CO_opt.log	c1c(N)c(F)c(O)c(C)c1(C=O)	-0.21198	-0.05344	4.314095356
Hc1cNcCNcFcNc1O_opt.log	c1c(N)c(C#N)c(F)c(N)c1(O)	-0.22424	-0.01795	5.613439706
Hc1cNcCCcFcCNc1CO_opt.log	c1c(N)c(C=C)c(F)c(C#N)c1(C=O)	-0.23899	-0.08482	4.195181538
Hc1cNcCOcFcCOc1N_opt.log	c1c(N)c(C=O)c(F)c(C=O)c1(N)	-0.23283	-0.04638	5.073565530000001
Hc1cNcFcNcNc1NOO-_opt.log	c1c(N)c(F)c(N)c(N)c1(N(=O)(=O))	-0.18753	-0.07662	3.0180163740000006
Hc1cNcCNcFcCc1CN_opt.log	c1c(N)c(C#N)c(F)c(C)c1(C#N)	-0.24315	-0.07531	4.567161376
Hc1cCcNOO-cCOcCCc1F_opt.log	c1c(C)c(N(=O)(=O))c(C=O)c(C=C)c1(F)	-0.26475	-0.1088	4.24361783
Hc1cNcNcCcNc1NOO-_opt.log	c1c(N)c(N)c(C)c(N)c1(N(=O)(=O))	-0.2096	-0.06158	4.027831428000001
Hc1cNcOcOcOc1NOO-_opt.log	c1c(N)c(O)c(O)c(O)c1(N(=O)(=O))	-0.20452	-0.06896	3.6887773840000007
Hc1cNcFcOcHc1NOO-_opt.log	c1c(N)c(F)c(O)cc1(N(=O)(=O))	-0.23263	-0.09479	3.750819376000001
Hc1cNcCOcCCcCc1CN_opt.log	c1c(N)c(C=O)c(C=C)c(C)c1(C#N)	-0.22363	-0.07002	4.179943154
Hc1cNcCNcCcOc1CO_opt.log	c1c(N)c(C#N)c(C)c(O)c1(C=O)	-0.2142	-0.08047	3.6389805220000007
Hc1cNcCCcNcCCc1CO_opt.log	c1c(N)c(C=C)c(N)c(C=C)c1(C=O)	-0.19183	-0.04884	3.8909580860000004
Hc1cCcNOO-cCOcCCc1CC_opt.log	c1c(C)c(N(=O)(=O))c(C=O)c(C=C)c1(C=C)	-0.25509	-0.10377	4.1176290479999995
Hc1cNcNcCCcCNc1CC_opt.log	c1c(N)c(N)c(C=C)c(C#N)c1(C=C)	-0.20333	-0.02439	4.869207916000001
Hc1cNcNcNOO-cOc1NOO-_opt.log	c1c(N)c(N)c(N(=O)(=O))c(O)c1(N(=O)(=O))	-0.24944	-0.11254	3.72524066
Hc1cNcFcOcFc1O_opt.log	c1c(N)c(F)c(O)c(F)c1(O)	-0.20155	0.02122	6.061883578
Hc1cNcOcNcCNc1NOO-_opt.log	c1c(N)c(O)c(N)c(C#N)c1(N(=O)(=O))	-0.22987	-0.0927	3.732587738
Hc1cNcOcNcOc1CN_opt.log	c1c(N)c(O)c(N)c(O)c1(C#N)	-0.18979	-0.00892	4.921725918
Hc1cNcHcFcCNc1F_opt.log	c1c(N)cc(F)c(C#N)c1(F)	-0.23927	-0.0303	5.6863662580000005
Hc1cNcFcFcNOO-c1CC_opt.log	c1c(N)c(F)c(F)c(N(=O)(=O))c1(C=C)	-0.24275	-0.08407	4.317904952
Hc1cNcCOcNOO-cCc1F_opt.log	c1c(N)c(C=O)c(N(=O)(=O))c(C)c1(F)	-0.23907	-0.10521	3.6425180040000003
