File	SMILES	HOMO (Ha)	LUMO (Ha)	GAP (eV)
Hc1cNcHcCOcCCc1F_opt.log	c1c(N)cc(C=O)c(C=C)c1(F)	-0.21373	-0.0577	4.245794742
Hc1cNcFcCCcFc1F_opt.log	c1c(N)c(F)c(C=C)c(F)c1(F)	-0.21413	-0.02674	5.099144246
Hc1cNcNcNcOc1CO_opt.log	c1c(N)c(N)c(N)c(O)c1(C=O)	-0.20485	-0.0179	5.08717123
Hc1cNcCcCOcNOO-c1CC_opt.log	c1c(N)c(C)c(C=O)c(N(=O)(=O))c1(C=C)	-0.2398	-0.07888	4.3788584880000005
Hc1cNcCcCNcCOc1NOO-_opt.log	c1c(N)c(C)c(C#N)c(C=O)c1(N(=O)(=O))	-0.25562	-0.10558	4.082798456000001
Hc1cNcCCcCCcHc1CN_opt.log	c1c(N)c(C=C)c(C=C)cc1(C#N)	-0.22052	-0.04326	4.823492764
Hc1cNcCOcCCcHc1NOO-_opt.log	c1c(N)c(C=O)c(C=C)cc1(N(=O)(=O))	-0.23677	-0.11118	3.4174797260000003
Hc1cNcCNcOcCc1CC_opt.log	c1c(N)c(C#N)c(O)c(C)c1(C=C)	-0.21199	-0.03745	4.749477756000001
Hc1cNcCcCNcCCc1CO_opt.log	c1c(N)c(C)c(C#N)c(C=C)c1(C=O)	-0.22255	-0.06531	4.278720536
Hc1cNcCcFcCCc1N_opt.log	c1c(N)c(C)c(F)c(C=C)c1(N)	-0.18047	0.01157	5.225677256
Hc1cNcCOcCCcCNc1CC_opt.log	c1c(N)c(C=O)c(C=C)c(C#N)c1(C=C)	-0.23016	-0.06773	4.419947702000001
Hc1cCcNOO-cCOcHc1F_opt.log	c1c(C)c(N(=O)(=O))c(C=O)cc1(F)	-0.28209	-0.11269	4.60961116
Hc1cNcOcCNcCc1NOO-_opt.log	c1c(N)c(O)c(C#N)c(C)c1(N(=O)(=O))	-0.26783	-0.09641	4.664578188000001
Hc1cNcNcCNcCCc1NOO-_opt.log	c1c(N)c(N)c(C#N)c(C=C)c1(N(=O)(=O))	-0.23312	-0.08568	4.012048816
Hc1cNcCcCOcFc1N_opt.log	c1c(N)c(C)c(C=O)c(F)c1(N)	-0.18866	-0.04507	3.907284926
Hc1cNcFcCNcFc1O_opt.log	c1c(N)c(F)c(C#N)c(F)c1(O)	-0.22397	-0.04404	4.896147202000001
Hc1cOcHcCOcCOc1CO_opt.log	c1c(O)cc(C=O)c(C=O)c1(C=O)	-0.25449	-0.09017	4.471377248
Hc1cNcOcFcOc1O_opt.log	c1c(N)c(O)c(F)c(O)c1(O)	-0.17714	0.0295	5.622963696
Hc1cNcCOcOcCNc1CO_opt.log	c1c(N)c(C=O)c(O)c(C#N)c1(C=O)	-0.24535	-0.09879	3.988102784000001
Hc1cNcCNcNOO-cCOc1O_opt.log	c1c(N)c(C#N)c(N(=O)(=O))c(C=O)c1(O)	-0.26044	-0.10593	4.204433414
Hc1cNcCcCcNOO-c1F_opt.log	c1c(N)c(C)c(C)c(N(=O)(=O))c1(F)	-0.23131	-0.0756	4.237087094
Hc1cNcFcCCcNOO-c1CC_opt.log	c1c(N)c(F)c(C=C)c(N(=O)(=O))c1(C=C)	-0.23489	-0.08197	4.161167288000001
Hc1cNcCcOcCCc1O_opt.log	c1c(N)c(C)c(O)c(C=C)c1(O)	-0.18191	0.02099	5.52119306
Hc1cNcCOcCcOc1F_opt.log	c1c(N)c(C=O)c(C)c(O)c1(F)	-0.20217	-0.04726	4.2153179739999995
Hc1cNcHcCOcOc1CN_opt.log	c1c(N)cc(C=O)c(O)c1(C#N)	-0.21548	-0.07335	3.8675562820000002
Hc1cNcOcCNcFc1F_opt.log	c1c(N)c(O)c(C#N)c(F)c1(F)	-0.21681	-0.04586	4.65178883
Hc1cNcOcFcCNc1NOO-_opt.log	c1c(N)c(O)c(F)c(C#N)c1(N(=O)(=O))	-0.24303	-0.10827	3.667008264
Hc1cNcCOcCNcHc1CN_opt.log	c1c(N)c(C=O)c(C#N)cc1(C#N)	-0.25572	-0.10061	4.220760254
Hc1cNcCNcOcNc1O_opt.log	c1c(N)c(C#N)c(O)c(N)c1(O)	-0.21528	-0.00512	5.718747824
